year,recorded_events_per_year,projected_events_per_year,recorded_status
1970,20.52,32.44,estimated_from_emdat_ratio
1971,20.52,32.89,estimated_from_emdat_ratio
1972,20.52,33.34,estimated_from_emdat_ratio
1973,20.52,33.79,estimated_from_emdat_ratio
1974,20.52,34.24,estimated_from_emdat_ratio
1975,20.52,34.69,estimated_from_emdat_ratio
1976,22.39,35.14,estimated_from_emdat_ratio
1977,24.26,35.59,estimated_from_emdat_ratio
1978,26.12,36.04,estimated_from_emdat_ratio
1979,27.99,36.50,estimated_from_emdat_ratio
1980,29.86,36.95,estimated_from_emdat_ratio
1981,31.73,37.40,eea_catdat_decade_interpolated
1982,33.60,37.85,eea_catdat_decade_interpolated
1983,35.46,38.30,eea_catdat_decade_interpolated
1984,37.33,38.75,eea_catdat_decade_interpolated
1985,39.20,39.20,eea_catdat_decade_interpolated
1986,40.11,39.65,eea_catdat_decade_interpolated
1987,41.02,40.10,eea_catdat_decade_interpolated
1988,41.93,40.55,eea_catdat_decade_interpolated
1989,42.84,41.00,eea_catdat_decade_interpolated
1990,43.75,41.45,eea_catdat_decade_interpolated
1991,44.66,41.90,eea_catdat_decade_interpolated
1992,45.57,42.36,eea_catdat_decade_interpolated
1993,46.48,42.81,eea_catdat_decade_interpolated
1994,47.39,43.26,eea_catdat_decade_interpolated
1995,48.30,43.71,eea_catdat_decade_interpolated
1996,51.46,44.16,eea_catdat_decade_interpolated
1997,54.62,44.61,eea_catdat_decade_interpolated
1998,57.78,45.06,eea_catdat_decade_interpolated
1999,60.94,45.51,eea_catdat_decade_interpolated
2000,64.10,45.96,eea_catdat_decade_interpolated
2001,67.26,46.41,eea_catdat_decade_interpolated
2002,70.42,46.86,eea_catdat_decade_interpolated
2003,73.58,47.31,eea_catdat_decade_interpolated
2004,76.74,47.77,eea_catdat_decade_interpolated
2005,79.90,48.22,eea_catdat_decade_interpolated
2006,84.11,48.67,eea_catdat_decade_interpolated
2007,88.32,49.12,eea_catdat_decade_interpolated
2008,92.53,49.57,eea_catdat_decade_interpolated
2009,96.74,50.02,eea_catdat_decade_interpolated
2010,100.95,50.47,eea_catdat_decade_interpolated
2011,105.16,50.92,eea_catdat_decade_interpolated
2012,109.37,51.37,eea_catdat_decade_interpolated
2013,113.58,51.82,eea_catdat_decade_interpolated
2014,117.79,52.27,eea_catdat_decade_interpolated
2015,122.00,52.72,eea_catdat_decade_interpolated
2016,,53.17,after_last_catdat_decade_midpoint
2017,,53.63,after_last_catdat_decade_midpoint
2018,,54.08,after_last_catdat_decade_midpoint
2019,,54.53,after_last_catdat_decade_midpoint
2020,,54.98,after_last_catdat_decade_midpoint
2021,,55.43,after_last_catdat_decade_midpoint
2022,,55.88,after_last_catdat_decade_midpoint
2023,,56.33,after_last_catdat_decade_midpoint
2024,,56.78,after_last_catdat_decade_midpoint
2025,,57.23,after_last_catdat_decade_midpoint
