nuts_id,name,flash_flood_pct,coastal_flood_pct,landslide_pct,earthquake_pct,drought_pct,mean_likelihood_pct,map_likelihood_pct
EL43,Kriti,76.8,38,57.3,68,88.0,65.6,75.7
EL42,Notio Aigaio,75.2,38,56.4,68,88.0,65.1,75.4
EL65,Peloponnisos,74.6,38,56.0,68,87.6,64.8,75.1
EL30,Attiki,74.1,38,55.7,68,86.8,64.5,74.6
EL63,Dytiki Ellada,73.6,38,55.4,68,85.9,64.2,74.0
EL62,Ionia Nisia,73.3,38,55.2,68,85.3,64.0,73.6
EL64,Sterea Ellada,73.2,38,55.2,68,85.2,63.9,73.5
EL41,Voreio Aigaio,73.0,38,55.1,68,84.9,63.8,73.3
ITF6,Calabria,72.8,38,55.0,68,84.5,63.6,73.0
ITG1,Sicilia,74.3,38,55.8,62,87.2,63.5,74.2
EL61,Thessalia,72.3,38,54.7,68,83.6,63.3,72.4
EL54,Ipeiros,72.2,38,54.6,68,83.5,63.3,72.4
EL53,Dytiki Makedonia,71.4,38,54.2,68,82.1,62.7,71.4
EL52,Kentriki Makedonia,71.0,38,54.0,68,81.4,62.5,71.0
EL51,"Anatoliki Makedonia, Thraki",70.6,38,53.7,68,80.6,62.2,70.5
ITF5,Basilicata,71.3,38,54.1,62,81.8,61.4,70.6
ITF4,Puglia,70.8,38,53.8,62,80.9,61.1,70.0
TR62,"Adana, Mersin",60.9,38,56.2,62,88.0,61.0,73.2
TR61,"Antalya, Isparta, Burdur",60.7,38,56.1,62,87.9,61.0,73.1
TR32,"Aydin, Denizli, Mugla",60.5,38,55.9,62,87.4,60.8,72.8
TR31,Izmir,59.4,38,55.3,62,85.6,60.1,71.5
ME00,Crna Gora,68.9,48,52.7,62,67.6,59.8,63.9
TR22,"Balikesir, Çanakkale",58.0,38,54.5,62,83.1,59.1,69.9
ITG2,Sardegna,71.7,38,54.4,48,82.6,58.9,69.6
AL01,Veri,69.8,38,53.2,62,69.2,58.4,63.5
TR21,"Tekirdag, Edirne, Kirklareli",56.4,38,53.6,62,80.3,58.0,68.0
CY00,Kypros,77.0,38,23.2,62,88.0,57.6,71.3
ES51,Cataluña,69.9,38,71.8,28,79.4,57.4,67.3
PT15,Algarve,74.7,48,22.3,48,87.9,56.2,70.4
SI04,Zahodna Slovenija,61.4,38,68.3,48,61.5,55.5,61.3
